

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
02:19.46	255.937485	250.000000	39.055672	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
02:20.46	256.187500	250.000000	40.437420	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
02:21.46	255.625015	250.000000	40.173790	32.607353	20.000000	0.000000	188.440002	32.607353	32.452442	27.599640	0.525000	
02:22.46	255.874985	250.000000	41.927422	32.607353	20.000000	0.000000	188.479996	32.607353	32.452442	27.599640	0.525000	
02:23.46	255.437500	250.000000	41.923416	32.658966	20.000000	0.000000	188.479996	32.658966	32.452442	27.702892	0.525000	
02:24.46	255.250000	250.000000	42.345097	32.658966	20.000000	0.000000	188.479996	32.658966	32.452442	27.702892	0.525000	
02:25.46	254.937500	250.000000	42.854996	32.710583	20.000000	0.000000	188.519989	32.710583	32.452442	27.702892	0.525000	
02:26.46	254.625000	250.000000	42.924694	32.710583	20.000000	0.000000	188.519989	32.710583	32.452442	27.702892	0.525000	
02:27.46	254.312485	250.000000	42.975979	32.762196	20.000000	0.000000	188.519989	32.762196	32.452442	27.702892	0.525000	
02:28.46	253.874985	250.000000	42.709961	32.813854	20.000000	0.000000	188.519989	32.813854	32.452442	27.702892	0.525000	
02:29.46	253.562515	250.000000	42.910843	32.813854	20.000000	0.000000	188.519989	32.813854	32.400829	27.702892	0.525000	
02:30.46	253.125015	250.000000	42.551273	32.813854	20.000000	0.000000	188.560013	32.813854	32.452442	27.702892	0.525000	
02:31.46	253.062485	250.000000	42.865574	32.865467	20.000000	0.000000	188.560013	32.865467	32.452442	27.702892	0.525000	
02:32.46	252.437500	250.000000	42.271511	32.865467	20.000000	0.000000	188.560013	32.865467	32.452442	27.754526	0.525000	
02:33.46	252.187485	250.000000	42.122555	32.865467	20.000000	0.000000	188.560013	32.865467	32.452442	27.754526	0.525000	
02:34.46	252.187485	250.000000	42.442627	32.865467	20.000000	0.000000	188.560013	32.865467	32.452442	27.754526	0.525000	
02:35.46	251.687500	250.000000	41.738918	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.520000	
02:36.46	251.374985	250.000000	41.457386	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.525000	
02:37.46	251.062515	250.000000	41.034569	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.525000	
02:38.46	250.937485	250.000000	40.926647	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.525000	
02:39.46	251.062515	250.000000	41.330929	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.525000	
02:40.46	250.750000	250.000000	40.893845	32.917107	20.000000	0.000000	188.600006	32.917107	32.452442	27.754526	0.525000	
02:41.46	250.312500	250.000000	40.112934	32.968719	20.000000	0.000000	188.639999	32.968719	32.452442	27.754526	0.525000	
02:42.46	250.312500	250.000000	40.153465	32.917107	20.000000	0.000000	188.639999	32.917107	32.452442	27.754526	0.525000	
02:43.46	250.437500	250.000000	40.472591	32.968719	20.000000	0.000000	188.639999	32.968719	32.452442	27.754526	0.525000	
02:44.46	250.124985	250.000000	39.905819	32.968719	20.000000	0.000000	188.639999	32.968719	32.452442	27.754526	0.525000	
02:45.46	250.124985	250.000000	39.923897	32.968719	20.000000	0.000000	188.639999	32.968719	32.452442	27.754526	0.525000	
02:46.46	249.937500	250.000000	39.562160	32.968719	20.000000	0.000000	188.680008	32.968719	32.452442	27.702892	0.525000	
02:47.46	250.000000	250.000000	39.678360	32.968719	20.000000	0.000000	188.680008	32.968719	32.452442	27.702892	0.525000	
02:48.46	250.000000	250.000000	39.661446	32.968719	20.000000	0.000000	188.680008	32.968719	32.452442	27.702892	0.525000	
02:49.46	249.750000	250.000000	39.161415	32.968719	20.000000	0.000000	188.680008	32.968719	32.504101	27.702892	0.525000	
02:50.46	249.937500	250.000000	39.490349	32.968719	20.000000	0.000000	188.680008	32.968719	32.452442	27.702892	0.525000	
02:51.46	249.812500	250.000000	39.218643	32.968719	20.000000	0.000000	188.680008	32.968719	32.452442	27.702892	0.525000	
02:52.46	249.812500	250.000000	39.190712	32.917107	20.000000	0.000000	188.680008	32.917107	32.504101	27.702892	0.525000	
02:53.46	249.500000	250.000000	38.515011	32.917107	20.000000	0.000000	188.720001	32.917107	32.452442	27.702892	0.525000	
02:54.46	249.500000	250.000000	38.442924	32.968719	20.000000	0.000000	188.720001	32.968719	32.504101	27.702892	0.520000	
02:55.46	249.750000	250.000000	38.879848	32.968719	20.000000	0.000000	188.720001	32.968719	32.504101	27.702892	0.525000	
02:56.46	249.625000	250.000000	38.554684	32.968719	20.000000	0.000000	188.720001	32.968719	32.452442	27.702892	0.525000	
02:57.46	249.500000	250.000000	38.240551	32.968719	20.000000	0.000000	188.720001	32.968719	32.452442	27.702892	0.525000	
02:58.46	249.625000	250.000000	38.427872	32.968719	20.000000	0.000000	188.720001	32.968719	32.504101	27.702892	0.525000	
02:59.46	249.500000	250.000000	38.124722	32.968719	20.000000	0.000000	188.759995	32.968719	32.504101	27.702892	0.525000	
03:00.46	249.750000	250.000000	38.526459	32.968719	20.000000	0.000000	188.759995	32.968719	32.504101	27.702892	0.525000	
03:01.46	249.437500	250.000000	37.857170	32.968719	20.000000	0.000000	188.759995	32.968719	32.504101	27.702892	0.525000	
03:02.46	249.750000	250.000000	38.407532	32.968719	20.000000	0.000000	188.759995	32.968719	32.504101	27.702892	0.525000	
