Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
06:00.96	254.0625	250	58.490005	27.083385	20	0	521.559998	27.083385	26.463879	26.257376	0.465
06:01.96	253.75	250	58.751503	27.083385	20	0	521.559998	27.083385	26.463879	26.257376	0.47
06:02.96	254.1875	250	60.179943	27.083385	20	0	521.559998	27.083385	26.463879	26.257376	0.47
06:03.96	254.0625	250	60.525181	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.47
06:04.96	254.000015	250	61.289959	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.47
06:05.96	254.1875	250	62.233368	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.465
06:06.96	254.312485	250	63.092041	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.465
06:08.21	254.0625	250	63.494999	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.465
06:08.96	254.1875	250	64.310982	27.083385	20	0	539.880005	27.083385	26.463879	26.257376	0.465
06:09.96	254.0625	250	64.645782	27.083385	20	0	539.919983	27.083385	26.463879	26.257376	0.465
06:10.96	253.6875	250	64.70816	27.083385	20	0	539.919983	27.083385	26.463879	26.257376	0.465
06:11.96	253.437485	250	64.741058	27.083385	20	0	539.919983	27.083385	26.463879	26.257376	0.47
06:12.96	253.062485	250	64.438957	27.083385	20	0	539.919983	27.083385	26.463879	26.257376	0.465
06:13.96	252.750015	250	64.471024	27.083385	20	0	539.959961	27.083385	26.515512	26.257376	0.47
06:14.96	252.312515	250	63.962952	27.135019	20	0	539.959961	27.135019	26.515512	26.257376	0.47
06:15.96	251.875015	250	63.42749	27.135019	20	0	539.959961	27.135019	26.515512	26.257376	0.47
06:16.96	251.500015	250	63.045914	27.135019	20	0	540	27.135019	26.515512	26.257376	0.47
06:17.96	251.1875	250	62.610039	27.135019	20	0	540	27.135019	26.463879	26.257376	0.47
06:18.96	250.875	250	62.154457	27.135019	20	0	540	27.135019	26.515512	26.30899	0.47
06:19.96	250.4375	250	61.422565	27.135019	20	0	540.040039	27.135019	26.515512	26.30899	0.47
06:20.96	250.124985	250	60.839527	27.135019	20	0	540.040039	27.135019	26.515512	26.30899	0.47
06:21.96	249.75	250	60.085709	27.135019	20	0	540.040039	27.135019	26.515512	26.30899	0.47
06:22.96	249.4375	250	59.369179	27.135019	20	0	540.080017	27.135019	26.515512	26.30899	0.47
06:23.96	249.125	250	58.659431	27.135019	20	0	540.080017	27.135019	26.515512	26.30899	0.47
06:24.96	249.1875	250	58.661316	27.135019	20	0	540.080017	27.135019	26.515512	26.30899	0.47
06:25.96	248.8125	250	57.797188	27.135019	20	0	540.119995	27.135019	26.515512	26.30899	0.47
06:26.96	248.5625	250	57.026844	27.135019	20	0	540.119995	27.135019	26.515512	26.30899	0.47
06:27.96	248.1875	250	56.054802	27.083385	20	0	540.119995	27.083385	26.515512	26.30899	0.47
06:28.96	248.5	250	56.404232	27.083385	20	0	540.159973	27.083385	26.515512	26.257376	0.465
06:29.96	248.25	250	55.577202	27.135019	20	0	540.159973	27.135019	26.515512	26.257376	0.47
06:30.96	248.0625	250	54.93819	27.083385	20	0	540.159973	27.083385	26.515512	26.257376	0.47
06:31.96	248.0625	250	54.662098	27.083385	20	0	540.200012	27.083385	26.515512	26.257376	0.47
06:32.96	248.1875	250	54.503365	27.083385	20	0	540.200012	27.083385	26.515512	26.257376	0.47
06:33.96	248.0625	250	53.973694	27.083385	20	0	540.200012	27.083385	26.515512	26.257376	0.465
06:34.96	248.0625	250	53.695076	27.083385	20	0	540.23999	27.083385	26.515512	26.257376	0.465
06:35.96	248.375	250	53.920231	27.083385	20	0	540.23999	27.083385	26.515512	26.257376	0.47
06:36.96	248.5	250	53.955627	27.083385	20	0	540.280029	27.083385	26.515512	26.257376	0.47
06:37.96	248.8125	250	54.371941	27.083385	20	0	540.280029	27.083385	26.515512	26.257376	0.47
06:38.96	249.3125	250	55.159531	27.083385	20	0	540.280029	27.083385	26.515512	26.257376	0.47
06:39.96	249.4375	250	55.321754	27.083385	20	0	540.320007	27.083385	26.567129	26.257376	0.47
06:40.96	249.75	250	55.871292	27.083385	20	0	540.320007	27.083385	26.515512	26.154125	0.47
06:41.96	250.625015	250	57.624214	27.083385	20	0	540.320007	27.083385	26.515512	26.154125	0.47
06:42.96	251.062515	250	58.617275	27.083385	20	0	540.320007	27.083385	26.515512	26.154125	0.47
06:43.96	251.6875	250	60.027588	27.083385	20	0	540.359985	27.083385	26.515512	26.154125	0.47
06:44.96	252.5	250	62.07605	27.083385	20	0	540.359985	27.083385	26.515512	26.154125	0.47
06:45.96	252.8125	250	63.062717	27.083385	20	0	540.359985	27.083385	26.567129	26.154125	0.465
06:46.96	253.062485	250	64.004982	27.083385	20	0	540.400024	27.083385	26.515512	26.154125	0.47
06:47.96	253.125015	250	64.79554	27.083385	20	0	540.400024	27.083385	26.567129	26.154125	0.47
06:48.96	253.125015	250	65.258209	27.083385	20	0	540.400024	27.083385	26.567129	26.154125	0.465
06:49.96	253.062485	250	65.581596	27.083385	20	0	540.400024	27.083385	26.515512	26.154125	0.47
06:50.96	252.8125	250	65.705551	27.083385	20	0	540.440002	27.083385	26.567129	26.257376	0.465
06:51.96	252.5	250	65.467453	27.083385	20	0	540.440002	27.083385	26.567129	26.257376	0.465
06:52.96	252.4375	250	65.715172	27.083385	20	0	540.440002	27.083385	26.567129	26.257376	0.47
06:53.96	252	250	65.312752	27.083385	20	0	540.440002	27.083385	26.567129	26.257376	0.47
06:54.96	251.812485	250	65.228546	27.083385	20	0	540.47998	27.083385	26.567129	26.257376	0.47
06:55.96	251.5625	250	64.975304	27.083385	20	0	540.47998	27.083385	26.567129	26.257376	0.47
06:56.96	250.937485	250	64.017876	27.083385	20	0	540.47998	27.083385	26.567129	26.257376	0.47
06:57.96	250.75	250	63.767891	27.083385	20	0	540.47998	27.083385	26.567129	26.257376	0.47
06:58.96	250.4375	250	63.233231	27.083385	20	0	540.519958	27.083385	26.567129	26.257376	0.47
06:59.96	249.9375	250	62.280067	27.083385	20	0	540.519958	27.083385	26.567129	26.257376	0.47
07:00.96	249.5	250	61.382175	27.083385	20	0	540.519958	27.083385	26.567129	26.257376	0.47
07:01.97	249.125	250	60.511642	27.083385	20	0	540.559998	27.083385	26.567129	26.257376	0.47
07:02.97	248.875	250	59.892609	27.031748	20	0	540.559998	27.031748	26.567129	26.257376	0.47
07:03.97	248.5	250	58.968674	27.083385	20	0	540.559998	27.083385	26.567129	26.257376	0.47
07:04.97	248.25	250	58.13789	27.083385	20	0	540.559998	27.083385	26.567129	26.30899	0.47
07:05.97	248.1875	250	57.743847	27.083385	20	0	540.559998	27.083385	26.567129	26.30899	0.47
